deal_count,location,price,shop,title
53人累计付款,广东,1348,庞诺优品数码,Huawei/华为 nova 8 Pro 5G手机麒麟985 双卡nova8pro 华为手机5G
100+人累计付款,广东,758,科创数码通,Huawei/华为 nova 7 SE全网通5G手机麒麟985芯片nova7Pro鸿蒙系统
47人累计付款,广东,1491,宏达鑫辉数码专营店,5G新品!华为50pro 16+512GB 曲面屏1亿像素大电池高通骁龙游戏新款华为手机官方旗舰店官网正品p 50 60 pro
17人累计付款,广东,2888,昊玉数码专营店,顺丰速发【送碎屏保】华为智选TD Tech P50 5G手机官方旗舰正品店官网新款华为P50新品p60pro华为手机mate50
56人累计付款,广东,1684,宏达鑫辉数码专营店,5G旗舰新品! Huawei/华为80Pro 12+512GB 66W快充1.6亿影像骁龙新款华为手机官方旗舰店官网正品p60pro p50
100+人累计付款,浙江,1999,浩酷3C数码,Huawei/华为 nova 10 SE全网通手机
67人累计付款,广东,1799,浩酷3C数码,Huawei/华为 畅享 60X新款大屏学生智能手机官方旗舰正品
69人累计付款,广东,789,佳惠兴通数码专营店,双十一减270元OPPO A36 oppo手机新款上市oppo a36智能机 a32 a11
100+人累计付款,广东,444,铭信数码,OPPO A32手机128内存 全网通双卡智能安卓人脸识别指纹学生手机
3人累计付款,广东,4149,一加本分专卖店,双11抢先购至高直降500OPPO一加11新款OnePlus哈苏影像骁龙8gen2
45人累计付款,广东,6999,新创科锐,【百亿补贴】OPPO Find X6 12+256G
53人累计付款,广东,2599,百补优选,【百亿】OPPO K11 12G+512GB手机 oppo手机官方旗舰店oppo手机k11
99人累计付款,浙江,1799,浩酷3C数码,OPPO K11 5g手机  oppo官方官网旗舰店 oppok11
6人累计付款,广东,2999,耀鹏数码通讯,Huawei/华为 nova 10 Pro
11人累计付款,广东,1349,幸运宝贝数码专营店,分期免息/当天发 HUAWEI/华为nova10 5G手机华为智选Hinova10系列正品官网华为官方旗舰店华为手机Mate60pro
52人累计付款,广东,872,国安数码,Huawei/华为Mate60Pro新款荣耀全网通5G电竞1TB畅玩游戏智能手机
14人累计付款,浙江,1538,中国移动手机官方旗舰店,【新品】HUAWEI/华为nova10SE 游戏拍照摄影OLED新款一亿像素长续航轻薄鸿蒙66W快充智能手机
11人累计付款,北京,2788,囯行5G数码店,Huawei/华为 Mate 40 pro 5G曲面屏官方旗舰正品麒麟9000Mate40手
100+人累计付款,浙江,6799,壹贰三数码,Huawei/华为 Mate 50 Pro 8+256GB 手机
5人累计付款,浙江,1642,能良数码官方旗舰店,24期免息【赠180天碎屏宝】HUAWEI/华为 NOVA 10 SE手机旗舰店官方正品4G全网通曲面屏se官网Pro系列
61人累计付款,北京,909,彬彬数码电子科技,HUAWEI/华为畅享60X 智能手机7000mAh长续航5G全网通Matre60S手机
27人累计付款,广东,969,联达科技5G,Huawei/华为Mate 60 Pro新款未拆封官方正品旗舰全网通5G智能手机
62人累计付款,广东,1638,紫金数码店,【百亿补贴】Huawei/华为 畅享 60X  256GB新款手机超长续航补贴
39人累计付款,北京,948,九龙智能电子,Huawei/华为 Mate50 Pro智能手机5G官方全新正品店华为手机p60pro
7人累计付款,广东,4899,耀鹏数码通讯,Huawei/华为 MATE 50
10人累计付款,广东,813,丹丹优品数码,Huawei/华为 畅享 60手机全屏畅享60大电池学生老人官方正品60pro
7人累计付款,广东,1299,久汇数码专营店,顺丰当天发【立减300元】HUAWEI/华为畅享60 Pro手机官方旗舰店5g官网正品新款hi畅享60x手机新品学生老年机
23人累计付款,广东,3058,优选汇数码,Huawei/华为 Mate 40 Pro 5G麒麟9000鸿蒙系统官方正品手机mate40
15人累计付款,浙江,1807,天猫优品官方直营,【天猫优品官方直营】HUAWEI/华为畅享60X手机7000m毫安长续航官方旗舰店正品手机畅享60华为新品60Pro
99人累计付款,山东,3898,桃花数码,Huawei/华为 nova 11 Pro手机官方正品新品Nova10Pro鸿蒙
43人累计付款,广东,2723,恒源数码科技,Huawei/华为 Mate 40 pro 5G麒麟9000鸿蒙系统官方旗舰正品mate40
7人累计付款,广东,908,壹级数码5356,Huawei/华为 Mate 20全面屏4G麒麟980全面屏4G全网通手机
5人累计付款,上海,1419,bihee旗舰店,24期分期/送碎屏宝】Huawei/华为nova 10Z 全新方正品新款学生直降鸿蒙华为手机nova10pro系列
58人累计付款,广东,1985,天天优选自营店,分期免息 华为Mate40 5G手机m40官方旗舰正品店官网P40 50 60pro
54人累计付款,北京,1599,粤机汇数码手机,Huawei/华为 nova 10 SE
49人累计付款,广东,2399,如沐数码668,OPPO Reno10 8+256G
4人累计付款,浙江,1699,OPPO欧欧专卖店,【立减300元】OPPO K10 oppok10手机新款5g智能全网通手机k10pro k9pro k9s k9x k7x oppo手机官方旗舰店官网
12人累计付款,江苏,1799,不二优选手机商城,OPPO A2 Pro 5G手机 智能 oppo手机
47人累计付款,广东,1699,百补优选,【百亿补贴】OPPO K11x oppok11x手机新款oppo手机官方旗舰店官网
69人累计付款,广东,389,优旺嘉诚数码,OPPO A11全面屏高通骁龙665智能a11x超长待机老人学生游戏手机
3人累计付款,北京,1579,中国联通官方旗舰店,【6期免息】OPPO K11 旗舰智能 5G oppok11游戏竞技拍照新款手机大内存官网正品学生老人手机
78人累计付款,广东,438,福瑞祥数码,OPPO A72智能手机5G全网通天玑720大屏幕老人机高续航备用学生机
37人累计付款,上海,2499,欧加手机正品店,【百亿补贴】OPPO K11 12+512GB
4人累计付款,北京,1519,中国联通官方旗舰店,OPPO A2 Pro 全网通5G智能手机 oppoa2pro高像素拍照游戏高性能大内存oppoA1Pro升级新机oppo官网正品
55人累计付款,广东,3299,如沐数码668,OPPO Reno10 Pro
45人累计付款,北京,2999,北京易通电讯商城,OPPO Reno10 全网通5G手机 80W超级闪充 120Hz OLED 超清曲面屏
50人累计付款,广东,1999,潮汕数码手机,OPPO A2 Pro
3人累计付款,广东,1899,OPPO手机智宏正品店,OPPO Reno10 opporeno10 oppo手机旗舰店官网 reno10
45人累计付款,广东,356,久翔手机汇,OPPO A11大屏大电池超长待机全网通 老人学生游戏智能手机 备用机
7人累计付款,江苏,1899,不二优选手机商城,【8GB+256G】OPPO K11 5G  oppo手机正品 oppok11 oppo手机
3人累计付款,广东,2499,中国移动手机官方旗舰店,【现货速发】OPPO Reno10 5G 新款智能拍照快充官方正品电竞游戏影像手机旗舰店 Reno9
1人累计付款,广东,1999,好再莱数码通讯,OPPO A2 Pro 四年耐用电池 67W超级闪充 官方正品智能拍照手机a2
24人累计付款,浙江,3899,喵速达电器官方旗舰店,OPPO Reno10 Pro+  骁龙 8+ 旗舰芯片 4nm 领先工艺 畅快高能 全网通游戏拍照学生oppo手机
20人累计付款,广东,89,silob旗舰店,适用vivo x flip手机壳新款小折叠屏xflip保护套vivoxflip复古老
15人累计付款,广东,979,能良数码官方旗舰店,vivo Y78t 新品5G智能手机 全面屏游戏vivo拍照手机学生 vivoy77t
26人累计付款,广东,1129,翎芸骆数码专营店,新款上市/顺丰速发vivo iQOO Z8 5G手机官方旗舰正品店爱酷官网iq
100+人累计付款,浙江,2499,全新正品特卖店,【百亿补贴】vivo S17手机vivos17官方正品s17
100+人累计付款,北京,899,众泰国际数码,vivo新款正品大屏全网通5G电竞游戏骁龙888学生官方旗舰智能手机
100+人累计付款,广东,2499,酷客数码科技,【百亿补贴】vivo iQOO Neo8 12+256GB
21人累计付款,广东,1049,中国移动手机官方旗舰店,vivo Y78+新款曲面屏游戏拍照学生5G智能闪充大电池手机官方旗舰店正品vivoy77
10人累计付款,浙江,3099,浩酷3C数码,vivo S17 Pro 8+256
38人累计付款,广东,1799,OPPO平实专卖店,[6期免息]OPPO 一加 Ace 2V OnePlus一加ace2v手机新款上市oppo手机1加ace2v 1+ace2新品一加手机官方旗舰店
21人累计付款,广东,365,一辰精品数码,OPPO A11全面屏高通骁龙超长待机a11X四摄全网通智能学生游戏手机
2人累计付款,浙江,3149,喵速达电器官方旗舰店,【阿里官方自营】OPPO Reno10 Pro opporeno10pro 手机新品oppo手机官方旗舰店官网5g正品0ppo reno9 10pro十
29人累计付款,广东,2499,百纳数码优选店,【12G+512G】OPPO Reno9
12人累计付款,广东,1575,OPPO华诺数码,现货全新OPPO A2 Pro 全网通5G拍照手机智能 天玑7050女款男士
63人累计付款,上海,1799,欧加手机正品店,【百亿补贴】OPPO K10x 12+256GB
10人累计付款,浙江,1542,中国移动官方旗舰店,OPPO K11 中国移动官旗索尼IMX890旗舰同款主摄 100W超级闪充 5000mAh大电池 大内存5G手机
3人累计付款,广东,2799,OPPO平实专卖店,[12期免息]OPPO Reno9Pro opporeno9pro手机新款上市oppo手机官方旗舰店官网正品reno8 0ppo10pro+十5g手机
39人累计付款,福建,533,Nice Phone,OPPO A56全网通5G 6.52英寸双卡双待大屏大电池老人学生智能手机
80人累计付款,广东,502,福瑞达数码科技,OPPO A55 5G全网通大音量大电池工作备用老人机学生游戏智能手机
11人累计付款,广东,1948,诚信通讯商城,OPPO Reno10官方旗舰手机双5G全网通reno10Proreno9Reno10Pro+
26人累计付款,广东,1479,OPPO手机红星正品店,OPPO K11x oppok11x OPPO官方正品旗舰店官网0ppo手机 K10x K9X
69人累计付款,广东,1138,高崎数码通讯,OPPO K10 5G手机拍照智能全面屏电竞游戏手机OPPO k10
10人累计付款,北京,1799,北京易通电讯商城,OPPO K10 手机天玑 8000-MAX 金刚石VC液冷散热 120Hz高帧变速屏
80人累计付款,广东,484,嘉维数码科技,OPPO A55 5G全网通原装正品旗舰店学生老人智能大屏手机包邮
36人累计付款,广东,899,乾坤科技数码,OPPO新上市正品官方旗舰全网通5G骁龙8gen2安卓智能手机reno10
27人累计付款,广东,2208,懂王二项式 只卖正品好货,OPPO Reno10 Pro手机送礼品曲屏5G全网通高性价比学生reno10系列
41人累计付款,广东,440,百汇通数码,OPPO A72全网通5G 6.5英寸大屏 天玑720 学生智能手机A55大电池
300+人累计付款,广东,248,雯雯数码靓机,OPPO A3全网通4G智能手机128G大内存双卡全面屏学生老人正品A5 A9
17人累计付款,广东,280,麦哥手机铺,OPPO A5全网通4G便宜双摄拍照大屏游戏流畅学生工作备用智能手机
89人累计付款,广东,618,麦哥手机铺,OPPO K7X 5G 新款双模大电池大屏幕超长待机学生拍照备用智能手机
5人累计付款,浙江,1999,OPPO手机初然正品店,OPPO Reno10 opporeno10手机5G新款oppo官方旗舰店官网正品reno9
8人累计付款,广东,2114,高崎数码通讯,OPPO Reno9 Pro+人像逆光游戏电竞智能拍照手机OPPO reno9pro+
65人累计付款,浙江,1540,百亿补贴官方频道,vivo S17e正品保障智能拍照游戏电竞手机全面屏手机百亿补贴官方
94人累计付款,江苏,3499,白云手机企业店,【百亿】vivo S17 Pro 8+256GB/ 12GB+256GB手机
100+人累计付款,江苏,3899,白云手机企业店,vivo iQOO 11S 12+256GB/16+256GB手机
63人累计付款,广东,2999,星期日数码好店,【顺丰包邮】vivo iQOO Neo8
5人累计付款,广东,3499,如沐数码668,vivo X90 8+256G
27人累计付款,广东,4999,星期日数码好店,【顺丰包邮】vivo X90
26人累计付款,广东,899,科达数码科技,vivo智能手机X80Pro全新未拆封全网通5G双卡官网正品拍照游戏手机
100+人累计付款,广东,1299,迷制数码,【百亿补贴】vivo iQOO Z7x手机 6+128GB 官方正品 iqooz7x z6x
41人累计付款,浙江,1039,喵速达电器官方旗舰店,【下拉详情领50元优惠券 自营】vivo iQOO Z7/Z8新品5G手机骁龙闪充学生游戏vivo旗舰手机官方旗舰店正品iqoo
1人累计付款,浙江,2499,浩酷3C数码,vivo S16  5G手机 vivos16新手机 vivos16pro vivo s16新品 s16
49人累计付款,北京,1599,北京易通电讯商城,【8+128】vivo iQOO Z8x 全网通5G手机 6000mAh巨量电池骁龙6Gen1
100+人累计付款,浙江,1599,全新正品特卖店,【百亿补贴 12+256GB】vivo Y78手机12+256GB官方正品
7人累计付款,江苏,6698,有意思数码,vivo X Fold+手机新款游戏折叠屏手机vivoxfold+ Xflod xfold2
83人累计付款,浙江,999,天天好货手机数码店企业店,【6+128G 百亿补贴】vivo Y53t新品5G智能拍照手机大内存大电池
7人累计付款,江苏,1169,苏宁易购官方旗舰店,【晒单享红包】vivo Y78+新款曲面屏游戏拍照学生5G手机 y78+ y53t y77 y73t vivo官方旗舰店XD4
41人累计付款,广东,2199,潮汕数码手机,【12GB+512GB】vivo iQOO Z8
100+人累计付款,广东,605,创新达数码科技,vivo Y52s手机 智能5G大内存5000毫安电池轻薄时尚送礼
4人累计付款,江苏,1873,中国电信官方旗舰店,【新品上市】vivo S17旗舰5G全网通拍照#游戏电竞智能手机全面屏官方旗舰店官网正品s17e s17pro-fu
16人累计付款,广东,609,vivo,vivo Z6双模5g五摄像高通骁龙765便宜全网通指纹解锁游戏智能手机
10人累计付款,山东,1399,桃花数码,vivo Y78+ 8+128 新品vivo手机
15人累计付款,广东,9999,百亿优选店,【百亿补贴】vivo Y78 8+128G
4人累计付款,江苏,2612,苏宁易购官方旗舰店,【价保双十一 至高省200】vivo S17 Pro全网通天玑8200强劲芯5000万前后柔光80W拍照游戏学生智能5G手机102
7人累计付款,浙江,1109,中国移动官方旗舰店,【移动用户至高专享335】vivo Y78新品游戏拍照学生5G智能手机中国移动官旗大电池vivo官方旗舰店 y77正品
66人累计付款,广东,467,大众数码客服,vivo Y31S新款全网通5G吃鸡直播5000大电池Y52s 拍照学生智能手机
4人累计付款,江苏,1099,不二优选手机商城,【8GB+128GB】vivo iQOO U5x手机千元学生老人大电池智能iQOO
3人累计付款,江苏,1419,苏宁易购官方旗舰店,OPPO A1 Pro 1亿高像素 超窄双曲屏 67W超级闪充 学生拍照游戏全网通5G手机苏宁易购官方旗舰店2874
27人累计付款,广东,448,金城电子通讯,vivo S7正品双模5G全网通高通骁龙765G面部识别学生游戏智能2手机
4人累计付款,浙江,1304,喵速达电器官方旗舰店,【下拉领取50元品类券  阿里官方自营】vivo iQOO Z7新品120W闪充手机5G长续航游戏vivoiqooz7官方旗舰店
8人累计付款,广东,899,能良数码官方旗舰店,vivo Y55t 智能5G拍照手机 vivo新品 y55t 大内存大电池 y53t学生备用机 y35 航vivo官方正品
100+人累计付款,山东,1849,桃花数码,【百亿补贴12+256】vivo iQOO Neo7 SE
54人累计付款,江苏,1799,不二优选手机商城,【12GB+256GB】vivo iQOO Z8 手机5g骁龙游戏 iqooz8
22人累计付款,广东,959,佰变数码通讯,vivo智能手机X80 Pro全面屏全网通5G千元大内存官网正品旗舰手机
3人累计付款,浙江,2069,中国移动官方旗舰店,【下单至高立减430】vivo S16新品 中国移动官旗5G智能拍照游戏电竞手机全面屏 vivo官方旗舰店正品S16
24人累计付款,山东,699,三际数码官方旗舰店,新品vivo Y33t手机全网通老人老年手机大电池大音量拍照y32 vivoy33t 百元手机 vivoy53t vivo手机官方旗舰店
23人累计付款,广东,550,万家惠数码6374,vivo Y52s全网通双模新款5G学生商务时尚网课vivoY317603手机闪充
14人累计付款,广东,630,亨通手机数码专店,vivo Y52s智能5G手机老人vivoy31s学生5000毫安备用直播vivoy52s
9人累计付款,浙江,979,航鹰数码专营店,vivo Y78t vivo手机 vivo y78t vivoy78 手机正品 vivo丫78十 vivio手机 vivo2023年新款 vovi手机官方旗舰店
100+人累计付款,广东,480,victory数码,vivo Y31S 5G学生智能手机大电池全网通y52s手机vivoY31s游戏神机
100+人累计付款,广东,2099,迷制数码,【百亿补贴】vivo iQOO Neo7 SE手机官方正品 12+256GB iqooneo7s
72人累计付款,广东,265,华风数码168,vivo Z3i全面水滴屏 6+128G 面容便宜学生党智能游戏视频备用手机
54人累计付款,广东,1599,静远数码通讯店,vivo iQOO Z8x  12+256
44人累计付款,广东,1,魅族官方旗舰店,魅族AR智能眼镜1元超前订魅族智能眼镜新品虚拟商品拍下不发货
9人累计付款,广东,3099,佰分购旗舰店,24期分期/赠原装好礼Meizu/魅族20Classic手机官方旗舰店魅族20C
2人累计付款,广东,2799,宝贝猜猜手机数码旗舰店,Meizu/魅族20无界手机域高通骁龙8Gen2正品5G直面屏幕智能拍照学生游戏领克Flyme
20人累计付款,北京,1620,新金数码通讯店,Meizu/魅族 18x魅族18魅族18pro魅族17魅族17pro全网通智能5G手机
46人累计付款,广东,199,千寻亿购,旗舰级运行快Meizu/魅族 魅族 M15魅族经典高通骁龙学生工作备用
36人累计付款,广东,310,烁烁美宜佳,全新未拆封Meizu/魅族 Note9全网通4G双卡快充拍照学生X8游戏手机
7人累计付款,浙江,3299,信怡数码专营店,meizu魅族20Pro新品无界手机第二代高通骁龙8 Gen2官方旗舰直屏手机
20人累计付款,广东,860,佳讯数码168,Meizu/魅族 16T 魅族16XS 魅族16th 魅族16thplus 全网通手机
3人累计付款,广东,249,烁烁美宜佳,全新正品Meizu/魅族 note8魅蓝note6双卡快充拍照V8学生手机
26人累计付款,广东,1413,聚义信誉,Meizu/魅族18高通骁龙888智能5G魅族18x骁龙870刷屏120Hz游戏手机
3人累计付款,广东,639,四知轩数码专营,魅族魅蓝10智能手机全网通4G学生价游戏5000毫安大电池官方旗舰店128G大内存千百元老人老年备用
4人累计付款,浙江,2399,扶摇数码通讯店,Meizu/魅族 20/20Pro高通骁龙 8Gen2 旗舰店5G直面屏智能拍照游戏
4人累计付款,广东,2599,苏宁易购官方旗舰店,【价保双十一】MEIZU/魅族 20手机骁龙8gen2处理器全网通5G拍照游戏手机魅族20pro魅族18同系列2067
4人累计付款,广东,1007,聚义信誉,Meizu/魅族 16s骁龙855双卡全网通4G面部指纹NFC智能手机
4人累计付款,浙江,2399,扶摇数码通讯店,Meizu/魅族 20 PRO/20高通骁龙 8Gen2 旗舰店5G直面屏智能拍照游
7人累计付款,广东,139,千寻亿购,运行快Meizu/魅族 魅蓝Note6全网通人脸指纹解锁美颜拍照学生手机
17人累计付款,广东,1520,佳讯数码168,Meizu/魅族 17 魅族17pro 全网通5G
3人累计付款,广东,2758,正品数码通讯,魅族20 Classic系列手机meizu白/新品白色国行正品5g纯白独白现货
7人累计付款,浙江,2579,信怡数码专营店,现货当天发meizu魅族20新品无界手机第二代高通骁龙8Gen2官方旗舰手机全网通5G直面屏手机
19人累计付款,广东,2579,金万吉数码专营店,顺丰当天发/送原装好礼/咨询减760元】Meizu/魅族20全网通5G手机骁龙8gen2处理器官方旗舰白色面板魅族20pro
5人累计付款,广东,260,方众数码,正品未拆封Meizu/魅族 note8人脸指纹识别移动联通双卡4G快充手机
9人累计付款,广东,1610,吉星高照666,Meizu/魅族 17 17pro 魅族18 18S 18X 全网通5g智能游戏拍照手机
20人累计付款,广东,260,方众数码,Meizu/魅族 魅蓝 Note6全网通4G  魅族note8人脸指纹识别快充手机
3人累计付款,上海,790,友嘉通讯2012,Meizu/魅族 16th 16thplus 魅族16X 全网通全4G游戏手机
8人累计付款,广东,1610,吉星高照666,Meizu/魅族 18 18S 魅族18X 18pro 全网通5G智能美颜拍照手机
27人累计付款,浙江,2449,新浪潮数码通讯,Meizu/魅族20Pro /魅族20 高通骁龙8Gen2 旗舰店5G直面屏智能拍照
4人累计付款,广东,2306,大可数码,Meizu/魅族 18 Pro高通骁龙888/曲屏/轻薄/拍照智能手机/全网通5G
6人累计付款,广东,699,潍坊联通官方旗舰店,【天猫旗舰店】魅族meilan魅蓝10/10s 全网通手机官方旗舰店官网正品老年人智能机大电池超长待机备用学生机
5人累计付款,浙江,1389,二手数码实拍店,Meizu/魅族 18S小屏5G手机支持FLYME10系统魅族18系列
8人累计付款,广东,1128,鼎科数码城,Meizu/魅族 17全网通骁龙865旗舰5G立体扬声6400万四摄支持NFC17P
92人累计付款,广东,139,金贝云科技企业店,Meizu/魅族 魅蓝 S6 NOTE6 NOTE8 PRO6人脸识别学生网课游戏手机
9人累计付款,广东,239,金贝云科技企业店,运行快Meizu/魅族 魅蓝 E3  NOTE9 自用学生网课游戏工作室手机
7人累计付款,广东,535,启锋数码通讯,Meizu/魅族 魅族16s Pro全面屏高清智能屏下指纹16plus手机全网通
12人累计付款,广东,1540,向天翔数码科技,Meizu/魅族 17 pro高通骁龙865魅族17全网通5G智能旗舰手机魅族20
18人累计付款,广东,1360,伊胜优品数码,Meizu/魅族 18S曲面屏骁龙888处理器魅族18spro 魅族18x游戏手机
8人累计付款,广东,155,d[s58160775],Meizu/魅族 note8 工作机 游戏顺畅 支持全网通4G
20人累计付款,上海,1630,友嘉通讯2012,Meizu/魅族 18 Pro 魅族18S  18X 魅族18 全网通5g智能美颜手机
16人累计付款,广东,128,魅族魅蓝数码,Meizu/魅族 魅蓝 Note6大屏老人备用移动电信联通4G手机note5/5s
6人累计付款,广东,1160,向天翔数码科技,Meizu/魅族 魅族16s Pro魅族17旗舰魅族16T全面屏骁龙855魅族16XS
9人累计付款,广东,1360,泽筱数码,Meizu/魅族 18x高通骁龙870 5G手机 魅族18S 18S pro智能手机
6人累计付款,浙江,2429,相柳数码,Meizu/魅族 20/20Pro高通骁龙 8Gen2 旗舰店5G直面屏智能拍照游戏
24人累计付款,广东,85,d[s58160775],Meizu/魅族 MX6阅读 游戏 工作机 群控 全网通
10人累计付款,广东,1520,鹏然通讯,Meizu/魅族 18 pro全网通5G手机17pro高通骁龙888智能拍照游戏18X
4人累计付款,广东,160,轩歌魅浩科技,Meizu/魅族 Note9魅蓝note5 s6 e3全网通4G双卡学生拍照智能手机8
100+人累计付款,广东,96,d[s65893839],Meizu/魅族 note8全网通4g智能学生安卓魅蓝note6 note5大屏手机
6人累计付款,广东,3099,金万吉数码专营店,顺丰当天发/送碎屏险+送原装配件】Meizu/魅族20Classic官方旗舰全网通5G手机骁龙8Gen2处理器魅族20C20Pro
6人累计付款,广东,258,明哥数码科技,Meizu/魅族 PRO 5移动联通4G人脸指纹识别7.0系统老人学生专用
3人累计付款,浙江,3079,新浪潮数码通讯,Meizu/魅族 20 Classic无界手机高通骁龙8Gen2 旗舰手机 正品全新
