title,rank,label,area,time,duration
霸王别姬 - Farewell My Concubine,9.5,"剧情,爱情",中国内地、中国香港,171 分钟,1993-07-26 上映
这个杀手不太冷 - Léon,9.5,"剧情,动作,犯罪",中国内地、中国香港,171 分钟,1994-09-14 上映
肖申克的救赎 - The Shawshank Redemption,9.5,"剧情,犯罪",中国内地、中国香港,171 分钟,1994-09-10 上映
泰坦尼克号 - Titanic,9.5,"剧情,爱情,灾难",中国内地、中国香港,171 分钟,1998-04-03 上映
罗马假日 - Roman Holiday,9.5,"剧情,喜剧,爱情",中国内地、中国香港,171 分钟,1953-08-20 上映
唐伯虎点秋香 - Flirting Scholar,9.5,"喜剧,爱情,古装",中国内地、中国香港,171 分钟,1993-07-01 上映
乱世佳人 - Gone with the Wind,9.5,"剧情,爱情,历史,战争",中国内地、中国香港,171 分钟,1939-12-15 上映
喜剧之王 - The King of Comedy,9.5,"剧情,喜剧,爱情",中国内地、中国香港,171 分钟,1999-02-13 上映
楚门的世界 - The Truman Show,9.5,"剧情,科幻",中国内地、中国香港,171 分钟,
狮子王 - The Lion King,9.5,"动画,歌舞,冒险",中国内地、中国香港,171 分钟,1995-07-15 上映
V字仇杀队 - V for Vendetta,8.9,"剧情,动作,科幻,惊悚",美国、英国、德国,132 分钟,2005-12-11 上映
少年派的奇幻漂流 - Life of Pi,8.9,"剧情,奇幻,冒险",美国、英国、德国,132 分钟,2012-11-22 上映
美丽心灵 - A Beautiful Mind,8.9,"剧情,传记",美国、英国、德国,132 分钟,2001-12-13 上映
初恋这件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก,8.9,"喜剧,爱情",美国、英国、德国,132 分钟,2012-06-05 上映
借东西的小人阿莉埃蒂 - 借りぐらしのアリエッティ,8.9,"动画,奇幻,冒险",美国、英国、德国,132 分钟,2010-07-17 上映
一一 - Yi yi: A One and a Two,8.9,"剧情,爱情,家庭",美国、英国、德国,132 分钟,2000-05-15 上映
美丽人生 - La vita è bella,8.9,"战争,剧情,爱情",美国、英国、德国,132 分钟,2020-01-03 上映
海上钢琴师 - La leggenda del pianista sull'oceano,8.9,"剧情,爱情,音乐",美国、英国、德国,132 分钟,2019-11-15 上映
千与千寻 - 千と千尋の神隠し,8.9,"动画,冒险,奇幻,家庭",美国、英国、德国,132 分钟,2019-06-21 上映
迁徙的鸟 - The Travelling Birds,8.9,纪录片,美国、英国、德国,132 分钟,2001-12-12 上映
"黄金三镖客 - Il buono, il brutto, il cattivo.",9.1,"西部,冒险",意大利、西班牙、西德,161 分钟,1966-12-23 上映
海洋 - Océans,9.1,纪录片,意大利、西班牙、西德,161 分钟,2011-08-12 上映
我爱你 - 그대를 사랑합니다,9.1,"剧情,爱情",意大利、西班牙、西德,161 分钟,2011-02-17 上映
阿飞正传 - Days of Being Wild,9.1,"剧情,爱情,犯罪",意大利、西班牙、西德,161 分钟,2018-06-25 上映
7号房的礼物 - 7번방의 선물,9.1,"剧情,喜剧,家庭",意大利、西班牙、西德,161 分钟,2013-01-23 上映
爱·回家 - 집으로...,9.1,"剧情,家庭",意大利、西班牙、西德,161 分钟,2002-04-05 上映
龙猫 - となりのトトロ,9.1,"动画,冒险,奇幻,家庭",意大利、西班牙、西德,161 分钟,2018-12-14 上映
七武士 - 七人の侍,9.1,"剧情,动作,冒险",意大利、西班牙、西德,161 分钟,1954-04-26 上映
美国往事 - Once Upon a Time in America,9.1,"剧情,犯罪",意大利、西班牙、西德,161 分钟,2015-04-23 上映
完美的世界 - A Perfect World,9.1,"剧情,犯罪",意大利、西班牙、西德,161 分钟,1993-11-24 上映
上帝之城 - Cidade de Deus,8.8,"剧情,犯罪",巴西、法国,130 分钟,
辩护人 - 변호인,8.8,剧情,巴西、法国,130 分钟,2013-12-18 上映
忠犬八公物语 - ハチ公物語,8.8,剧情,巴西、法国,130 分钟,1987-08-01 上映
海豚湾 - The Cove,8.8,纪录片,巴西、法国,130 分钟,2009-07-31 上映
英雄本色 - A Better Tomorrow,8.8,"剧情,动作,犯罪",巴西、法国,130 分钟,2017-11-17 上映
恐怖直播 - 더 테러 라이브,8.8,"剧情,悬疑,犯罪",巴西、法国,130 分钟,2013-07-31 上映
窃听风暴 - Das Leben der Anderen,8.8,"剧情,悬疑",巴西、法国,130 分钟,2006-03-23 上映
时空恋旅人 - About Time,8.8,"喜剧,爱情,奇幻",巴西、法国,130 分钟,2013-09-04 上映
穿条纹睡衣的男孩 - The Boy in the Striped Pajamas,8.8,"剧情,战争",巴西、法国,130 分钟,2008-08-28 上映
教父 - The Godfather,8.8,"剧情,犯罪",巴西、法国,130 分钟,2015-04-18 上映
萤火之森 - 蛍火の杜へ,8.8,"剧情,爱情,动画,奇幻",日本,45 分钟,2011-09-17 上映
素媛 - 소원,8.8,剧情,日本,45 分钟,2013-10-02 上映
小鞋子 - بچههای آسمان,8.8,"剧情,家庭",日本,45 分钟,
熔炉 - 도가니,8.8,剧情,日本,45 分钟,2011-09-22 上映
大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella,8.8,"喜剧,爱情,奇幻",日本,45 分钟,2014-10-24 上映
新龙门客栈 - New Dragon Gate Inn,8.8,"动作,爱情,武侠,古装",日本,45 分钟,2012-02-24 上映
触不可及 - Intouchables,8.8,"剧情,喜剧",日本,45 分钟,2011-11-02 上映
钢琴家 - The Pianist,8.8,"剧情,音乐,传记,历史,战争",日本,45 分钟,2002-05-24 上映
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,8.8,"剧情,爱情,奇幻",日本,45 分钟,2008-12-25 上映
倩女幽魂 - A Chinese Ghost Story,8.8,"爱情,奇幻,武侠,古装",日本,45 分钟,2011-04-30 上映
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,8.9,"剧情,悬疑,奇幻,冒险",英国、美国,130 分钟,2011-08-04 上映
甜蜜蜜 - Comrades: Almost a Love Story,8.9,"剧情,爱情",英国、美国,130 分钟,2015-02-13 上映
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,8.9,"剧情,动作,科幻,惊悚,犯罪",英国、美国,130 分钟,2012-08-27 上映
鬼子来了 - Devils on the Doorstep,8.9,"剧情,战争",英国、美国,130 分钟,2000-05-13 上映
无敌破坏王 - Wreck-It Ralph,8.9,"喜剧,动画,奇幻,冒险",英国、美国,130 分钟,2012-11-06 上映
致命魔术 - The Prestige,8.9,"剧情,悬疑,惊悚",英国、美国,130 分钟,2006-10-17 上映
神偷奶爸 - Despicable Me,8.9,"喜剧,动画,冒险",英国、美国,130 分钟,2010-06-20 上映
断背山 - Brokeback Mountain,8.9,"剧情,爱情,家庭",英国、美国,130 分钟,2005-09-02 上映
怦然心动 - Flipped,8.9,"剧情,喜剧,爱情",英国、美国,130 分钟,2010-07-26 上映
驯龙高手 - How to Train Your Dragon,8.9,"喜剧,动画,奇幻,冒险",英国、美国,130 分钟,2010-05-14 上映
飞屋环游记 - Up,8.8,"剧情,喜剧,动画,冒险",美国,96 分钟,2009-08-04 上映
黑客帝国3：矩阵革命 - The Matrix Revolutions,8.8,"动作,科幻",美国,96 分钟,2003-11-05 上映
速度与激情5 - Fast Five,8.8,"动作,犯罪",美国,96 分钟,2011-05-12 上映
勇敢的心 - Braveheart,8.8,"剧情,动作,传记,历史,战争",美国,96 分钟,1995-05-18 上映
三傻大闹宝莱坞 - 3 Idiots,8.8,"剧情,喜剧,爱情,歌舞",美国,96 分钟,2011-12-08 上映
闻香识女人 - Scent of a Woman,8.8,剧情,美国,96 分钟,1992-12-23 上映
末代皇帝 - The Last Emperor,8.8,"剧情,传记,历史",美国,96 分钟,1987-10-23 上映
风之谷 - 風の谷のナウシカ,8.8,"动画,奇幻,冒险",美国,96 分钟,
大话西游之月光宝盒 - A Chinese Odyssey,8.8,"喜剧,爱情,奇幻,古装",美国,96 分钟,2014-10-24 上映
放牛班的春天 - Les choristes,8.8,"剧情,音乐",美国,96 分钟,2004-10-16 上映
当幸福来敲门 - The Pursuit of Happyness,8.9,"剧情,家庭,传记",美国,117 分钟,2008-01-17 上映
幽灵公主 - もののけ姫,8.9,"动画,奇幻,冒险",美国,117 分钟,1998-05-01 上映
十二怒汉 - 12 Angry Men,8.9,剧情,美国,117 分钟,1957-04-13 上映
搏击俱乐部 - Fight Club,8.9,"剧情,动作,悬疑,惊悚",美国,117 分钟,1999-09-10 上映
疯狂原始人 - The Croods,8.9,"喜剧,动画,冒险",美国,117 分钟,2013-04-20 上映
阿凡达 - Avatar,8.9,"动作,科幻,冒险",美国,117 分钟,2010-01-04 上映
哈尔的移动城堡 - ハウルの動く城,8.9,"动画,奇幻,冒险",美国,117 分钟,2004-09-05 上映
盗梦空间 - Inception,8.9,"剧情,科幻,悬疑,冒险",美国,117 分钟,2010-09-01 上映
忠犬八公的故事 - Hachi: A Dog's Tale,8.9,剧情,美国,117 分钟,2009-06-13 上映
拯救大兵瑞恩 - Saving Private Ryan,8.9,"剧情,历史,战争",美国,117 分钟,1998-11-13 上映
活着 - To Live,9.0,"剧情,家庭,历史",中国大陆、中国香港,132 分钟,1994-05-17 上映
机器人总动员 - WALL·E,9.0,"喜剧,科幻,动画",中国大陆、中国香港,132 分钟,2008-06-27 上映
天堂电影院 - Nuovo Cinema Paradiso,9.0,"剧情,爱情",中国大陆、中国香港,132 分钟,1988-11-17 上映
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,9.0,"剧情,动作,奇幻,冒险",中国大陆、中国香港,132 分钟,2003-04-25 上映
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,9.0,"剧情,动作,奇幻,冒险",中国大陆、中国香港,132 分钟,2002-04-04 上映
射雕英雄传之东成西就 - The Eagle Shooting Heroes,9.0,"喜剧,奇幻,武侠,古装",中国大陆、中国香港,132 分钟,1993-02-05 上映
蝙蝠侠：黑暗骑士 - The Dark Knight,9.0,"剧情,动作,科幻,惊悚,犯罪",中国大陆、中国香港,132 分钟,2008-07-14 上映
无间道 - Infernal Affairs,9.0,"剧情,悬疑,犯罪",中国大陆、中国香港,132 分钟,2003-09-05 上映
教父2 - The Godfather: Part Ⅱ,9.0,"剧情,犯罪",中国大陆、中国香港,132 分钟,1974-12-12 上映
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,9.0,"动作,奇幻,冒险",中国大陆、中国香港,132 分钟,2003-11-21 上映
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,9.0,"奇幻,冒险",美国、英国,152 分钟,2002-01-26 上映
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,9.0,"剧情,动作,奇幻,冒险",美国、英国,152 分钟,2004-03-15 上映
黑客帝国 - The Matrix,9.0,"动作,科幻",美国、英国,152 分钟,2000-01-14 上映
剪刀手爱德华 - Edward Scissorhands,9.0,"剧情,爱情,奇幻",美国、英国,152 分钟,1990-12-06 上映
春光乍泄 - Happy Together,9.0,"剧情,爱情",美国、英国,152 分钟,1997-05-17 上映
大闹天宫 - The Monkey King,9.0,"动画,奇幻",美国、英国,152 分钟,1965-12-31 上映
天空之城 - 天空の城ラピュタ,9.0,"动画,奇幻,冒险",美国、英国,152 分钟,1992-05-01 上映
音乐之声 - The Sound of Music,9.0,"剧情,爱情,歌舞,传记",美国、英国,152 分钟,1965-03-02 上映
辛德勒的名单 - Schindler's List,9.0,"剧情,历史,战争",美国、英国,152 分钟,1993-11-30 上映
魂断蓝桥 - Waterloo Bridge,9.0,"剧情,爱情,战争",美国、英国,152 分钟,1940-05-17 上映
